GeographicCode,GeographicName,Province,Population_2011,Population_2006,PrivateDwellings_2011,LandArea_SqKm_2011,PopDensity_SqKm_2011,NatPopRank_2011,ProvPopRank_2011
3541057,Saugeen 29,Ontario,726,758,1427,41.4275,17.5246,2511,387
3541045,Saugeen Shores,Ontario,12661,11720,7228,170.9705,74.0537,308,112
3557061,Sault Ste. Marie,Ontario,75141,74948,33901,223.2591,336.5641,73,33
3558051,Schreiber,Ontario,1126,901,643,36.7897,30.6064,1927,346
3518020,Scugog,Ontario,21569,21439,8446,474.6527,45.4416,185,72
3549003,Seguin,Ontario,3988,4276,4348,595.4239,6.6977,827,248
3558095,Seine River 22A2,Ontario,0,0,0,31.2834,0,4932,539
3559066,Seine River 23A,Ontario,271,272,87,15.4989,17.4851,3737,467
3559065,Seine River 23B,Ontario,0,0,0,10.2627,0,4932,539
3557072,Serpent River 7,Ontario,373,340,160,79.0296,4.7198,3381,448
3543015,Severn,Ontario,12377,12030,6643,549.9035,22.5076,319,118
3549072,Shawanaga 17,Ontario,213,193,96,32.0693,6.6419,3951,481
3551042,Sheguiandah 24,Ontario,154,160,65,20.6431,7.4601,4158,500
3522021,Shelburne,Ontario,5846,5149,2164,6.4448,907.0879,626,212
3551044,Sheshegwaning 20,Ontario,118,107,62,20.2847,5.8172,4289,511
3560064,Shoal Lake 34B2,Ontario,97,126,37,1.7264,56.1863,4374,516
3560068,Shoal Lake (Part) 39A,Ontario,388,346,153,32.1605,12.0645,3335,444
3560082,Shoal Lake (Part) 40,Ontario,101,105,37,4.7835,21.1142,4360,514
3558028,Shuniah,Ontario,2737,2913,2156,570.9773,4.7935,1070,280
3560034,Sioux Lookout,Ontario,5037,5183,2080,378.8205,13.2965,706,228
3560008,Sioux Narrows-Nestor Falls,Ontario,720,672,1044,1222.4321,0.589,2526,388
3528037,Six Nations (Part) 40,Ontario,946,,392,30.5793,30.936,2155,361
3529020,Six Nations (Part) 40,Ontario,6213,,2426,157.3576,39.4833,599,205
3560046,Slate Falls,Ontario,186,164,58,8.749,21.2596,4053,491
3515015,Smith-Ennismore-Lakefield,Ontario,16846,17027,8006,315.6409,53.3708,243,90
3509004,Smiths Falls,Ontario,8978,9163,4383,9.6058,934.6437,435,159
3556048,Smooth Rock Falls,Ontario,1376,1473,693,199.7903,6.8872,1698,329
3548001,South Algonquin,Ontario,1211,1253,977,872.4944,1.388,1838,340
3541004,South Bruce,Ontario,5685,5939,2346,487.2712,11.667,642,215
3541055,South Bruce Peninsula,Ontario,8413,8415,6959,538.3201,15.6282,450,163
3501020,South Dundas,Ontario,10794,10535,4700,520.1004,20.7537,367,132
3510020,South Frontenac,Ontario,18113,18227,8836,971.6783,18.6409,227,87
3542005,Southgate,Ontario,7190,7072,2921,644.3501,11.1585,527,183
3501005,South Glengarry,Ontario,13162,12880,5616,605.3023,21.7445,298,109
3540005,South Huron,Ontario,9945,9982,4598,425.3605,23.3802,402,145
3549056,South River,Ontario,1049,1069,507,4.0418,259.5378,2016,351
3501011,South Stormont,Ontario,12617,12520,4991,447.5046,28.1941,310,114
3539005,Southwest Middlesex,Ontario,5860,5890,2470,427.9747,13.6924,624,211
3532012,South-West Oxford,Ontario,7544,7589,2695,370.4823,20.3626,502,176
3534024,Southwold,Ontario,4494,4724,1643,301.7097,14.8951,758,237
3557039,Spanish,Ontario,696,728,385,108.3928,6.4211,2571,391
3543009,Springwater,Ontario,18223,17456,6691,536.2305,33.9835,223,86
3526053,St. Catharines,Ontario,131400,131989,59209,96.1101,1367.182,36,17
3552004,St.-Charles,Ontario,1282,1159,759,321.5443,3.987,1775,332
3538003,St. Clair,Ontario,14515,14649,6193,619.3176,23.4371,272,104
3512020,Stirling-Rawdon,Ontario,4978,4906,1998,282.3094,17.6331,713,229
3557008,St. Joseph,Ontario,1201,1129,893,129.3575,9.2843,1847,342
3531016,St. Marys,Ontario,6655,6617,2856,12.48,533.2532,572,199
3511030,Stone Mills,Ontario,7560,7568,3169,708.8318,10.6654,499,174
3531011,Stratford,Ontario,30886,30516,13892,26.9508,1146.0142,140,54
3539015,Strathroy-Caradoc,Ontario,20978,19959,8162,274.1175,76.5292,192,75
3549046,Strong,Ontario,1341,1327,827,159.2843,8.4189,1724,331
3534021,St. Thomas,Ontario,37905,36110,16398,35.5161,1067.2625,119,48
3551041,Sucker Creek 23,Ontario,365,346,146,6.4906,56.2352,3409,451
3552093,"Sudbury, Unorganized, North Part",Ontario,2306,2415,1728,35594.7079,0.0648,1215,296
3560086,Summer Beaver,Ontario,,362,,17.1663,,,
3549048,Sundridge,Ontario,985,942,515,2.232,441.3082,2095,357
3557014,Tarbutt and Tarbutt Additional,Ontario,396,388,309,53.1355,7.4526,3316,439
3543071,Tay,Ontario,9736,9748,5049,138.9989,70.0437,409,147
3509015,Tay Valley,Ontario,5571,5634,3698,549.1241,10.1452,653,218
3537048,Tecumseh,Ontario,23610,24224,8832,94.6893,249.3418,172,65
3551001,Tehkummah,Ontario,406,382,353,132.4842,3.0645,3276,437
3548069,Temagami,Ontario,820,934,1224,1906.4154,0.4301,2334,378
3554020,Temiskaming Shores,Ontario,10400,10442,4621,177.913,58.4555,385,141
3558054,Terrace Bay,Ontario,1471,1625,822,151.0422,9.739,1625,323
3539027,Thames Centre,Ontario,13000,13085,4836,433.9477,29.9575,301,110
3549005,The Archipelago,Ontario,566,576,3008,606.5577,0.9331,2838,410
3542045,The Blue Mountains,Ontario,6453,6825,6200,287.2306,22.4663,580,201
3560089,The Dalles 38C,Ontario,195,156,56,32.8416,5.9376,4019,486
3502025,The Nation / La Nation,Ontario,11668,10662,4432,658.0298,17.7317,340,122
3557040,The North Shore,Ontario,509,549,370,238.9369,2.1303,2980,420
3557028,Thessalon,Ontario,1279,1312,594,4.3746,292.3696,1779,334
3557026,Thessalon 12,Ontario,108,112,53,9.7862,11.0359,4328,512
3554038,Thornloe,Ontario,123,105,49,6.486,18.9639,4269,507
3526037,Thorold,Ontario,17931,18224,7887,82.9999,216.0364,230,88
3558004,Thunder Bay,Ontario,108359,109160,49547,328.2403,330.121,46,23
3558090,"Thunder Bay, Unorganized",Ontario,5909,6585,5782,97007.342,0.0609,622,210
3532004,Tillsonburg,Ontario,15301,14822,7072,22.335,685.0683,264,101
3554091,"Timiskaming, Unorganized, East Part",Ontario,0,10,32,248.8449,0,4932,539
